Sex,Country,Total,Happiness,Personal care,Sleeping & Resting,Eating,Work,Studying,Household,Food management,Chores,Handicraft & Construction,Gardening & Pet care,Shopping,Childcare,Social life & Leisure,Sports,Hobbies,Computing,Reading,"TV, Radio & Entertainment",Travel,Unspecified
Males,Belgium,48:00:00,7.8,11:27,08:42,01:49,06:39,00:24,02:54,00:22,00:20,00:19,00:27,00:24,00:12,07:04,00:27,00:13,00:27,00:28,02:50,02:31,00:01
Males,Bulgaria,48:00:00,5.8,12:33,09:18,02:07,07:26,00:06,03:06,00:15,00:12,00:16,01:11,00:13,00:08,05:38,00:26,00:11,00:01,00:21,02:48,01:43,00:01
Males,Estonia,48:00:00,7.4,11:27,08:45,01:19,09:22,00:14,03:08,00:21,00:16,00:30,00:26,00:20,00:11,05:50,00:23,00:05,00:03,00:37,02:45,01:48,00:10
Males,Finland,48:00:00,8.2,11:01,08:46,01:23,07:54,00:28,02:49,00:21,00:14,00:22,00:13,00:26,00:14,07:04,00:37,00:10,00:10,00:44,02:42,01:59,00:23
Males,France,48:00:00,7.8,12:25,08:51,02:18,08:00,00:32,02:36,00:16,00:21,00:32,00:26,00:30,00:11,05:43,00:37,00:14,00:07,00:23,02:17,01:38,00:03
Males,Germany,48:00:00,7.5,11:29,08:24,01:43,07:21,00:32,02:50,00:16,00:22,00:19,00:24,00:29,00:12,07:05,00:28,00:18,00:21,00:37,02:17,02:22,00:11
Males,Italy,48:00:00,7.1,12:18,08:49,01:57,09:02,00:24,01:48,00:11,00:14,00:06,00:20,00:22,00:13,06:17,00:38,00:12,00:09,00:21,02:02,02:31,00:06
Males,Latvia,48:00:00,6.9,11:23,08:58,01:33,10:38,00:20,02:24,00:16,00:11,00:17,00:24,00:12,00:05,05:31,00:31,00:05,00:05,00:26,02:29,02:08,00:04
Males,Lithuania,48:00:00,7.3,11:46,08:43,01:32,09:59,00:20,02:45,00:20,00:15,00:18,00:26,00:13,00:08,05:37,00:21,00:04,00:08,00:23,02:46,01:51,00:05
Males,Norway,48:00:00,8,10:51,08:07,01:25,08:34,00:26,02:39,00:25,00:24,00:24,00:15,00:21,00:19,07:41,00:33,00:12,00:13,00:33,02:21,02:10,00:07
Males,Poland,48:00:00,7.4,11:34,08:36,01:33,08:25,00:30,02:47,00:25,00:17,00:19,00:23,00:21,00:16,06:36,00:25,00:07,00:11,00:21,02:46,01:55,00:13
Males,Slovenia,48:00:00,7.7,11:11,08:56,01:33,08:07,00:32,03:09,00:16,00:12,00:25,00:53,00:16,00:14,06:45,00:36,00:09,00:07,00:23,02:24,01:51,00:01
Males,Spain,48:00:00,7.7,11:59,09:00,01:47,09:12,00:37,01:52,00:19,00:12,00:06,00:16,00:19,00:13,06:24,00:53,00:10,00:11,00:17,02:12,01:53,00:08
Males,UK,48:00:00,7.7,11:03,08:35,01:24,08:50,00:18,02:34,00:26,00:24,00:17,00:22,00:24,00:15,06:27,00:18,00:11,00:14,00:26,02:51,02:24,00:17
Females,Belgium,48:00:00,7.8,11:58,09:05,01:50,04:01,00:34,04:48,00:57,01:14,00:10,00:16,00:33,00:27,06:14,00:18,00:09,00:11,00:24,02:27,02:23,00:01
Females,Bulgaria,48:00:00,5.8,12:14,09:15,01:55,05:26,00:13,05:19,01:37,01:32,00:18,00:42,00:16,00:24,04:33,00:17,00:02,00:00,00:16,02:18,01:21,00:02
Females,Estonia,48:00:00,7.3,11:23,08:43,01:12,06:30,00:15,05:16,01:19,01:20,00:17,00:32,00:29,00:38,05:04,00:15,00:05,00:01,00:37,02:16,01:37,00:11
Females,Finland,48:00:00,8.4,11:25,08:52,01:19,05:21,00:34,04:26,00:55,00:59,00:14,00:18,00:32,00:32,06:31,00:28,00:10,00:03,00:47,02:15,01:54,00:25
Females,France,48:00:00,7.8,12:39,09:01,02:11,04:49,00:29,04:45,01:01,01:45,00:12,00:16,00:41,00:33,05:04,00:23,00:11,00:02,00:23,02:02,01:26,00:07
Females,Germany,48:00:00,7.5,11:54,08:35,01:46,04:05,00:27,04:45,00:49,01:23,00:10,00:22,00:38,00:29,06:43,00:27,00:16,00:08,00:38,01:58,02:14,00:13
Females,Italy,48:00:00,6.9,12:13,08:50,01:52,03:59,00:30,05:32,01:19,02:29,00:09,00:10,00:36,00:34,05:17,00:23,00:05,00:02,00:16,01:36,02:04,00:04
Females,Latvia,48:00:00,6.8,11:36,09:04,01:26,07:23,00:27,04:25,01:06,01:01,00:10,00:32,00:21,00:24,04:57,00:21,00:04,00:01,00:29,02:03,02:04,00:06
Females,Lithuania,48:00:00,7.2,11:52,08:48,01:26,07:22,00:22,04:54,01:18,01:15,00:13,00:36,00:21,00:26,04:32,00:13,00:02,00:02,00:23,02:05,01:44,00:06
Females,Norway,48:00:00,8.1,11:23,08:22,01:20,05:34,00:32,04:04,00:51,01:09,00:16,00:13,00:27,00:37,07:53,00:27,00:10,00:06,00:39,01:52,01:58,00:07
Females,Poland,48:00:00,7.3,11:57,08:47,01:34,04:44,00:30,05:03,01:30,01:24,00:07,00:19,00:30,00:42,05:50,00:16,00:06,00:03,00:25,02:11,01:51,00:11
Females,Slovenia,48:00:00,7.6,11:13,08:55,01:26,05:40,00:40,05:18,01:24,01:32,00:09,00:41,00:21,00:33,05:35,00:26,00:05,00:02,00:23,01:53,01:40,00:04
Females,Spain,48:00:00,7.5,11:54,08:58,01:44,04:30,00:42,05:26,01:20,01:42,00:11,00:07,00:35,00:36,05:34,00:38,00:05,00:03,00:12,01:54,01:42,00:07
Females,UK,48:00:00,7.9,11:33,08:50,01:26,05:05,00:19,04:34,00:59,01:18,00:09,00:19,00:39,00:42,06:15,00:10,00:11,00:05,00:25,02:20,02:22,00:19
