Country,Area(sq km),Birth rate(births/1000 population),Current account balance,Death rate(deaths/1000 population),Debt - external,Electricity - consumption(kWh),Electricity - production(kWh),Exports,GDP_brut,GDP,GDP - real growth rate(%),HIV/AIDS - adult prevalence rate(%),HIV/AIDS - deaths,HIV/AIDS - people living with HIV/AIDS,Highways(km),Imports,Industrial production growth rate(%),Infant mortality rate(deaths/1000 live births),Inflation rate (consumer prices)(%),Internet hosts,Internet users,Investment (gross fixed)(% of GDP),Labor force,Life expectancy at birth(years),Military expenditures - dollar figure,Military expenditures - percent of GDP(%),Natural gas - consumption(cu m),Natural gas - exports(cu m),Natural gas - imports(cu m),Natural gas - production(cu m),Natural gas - proved reserves(cu m),Oil - consumption(bbl/day),Oil - exports(bbl/day),Oil - imports(bbl/day),Oil - production(bbl/day),Oil - proved reserves(bbl),Population,Public_debt,Railways(km),Reserves of foreign exchange & gold,Telephones - main lines in use,Telephones - mobile cellular,Total fertility rate(children born/woman),Unemployment
String,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
AT,83870,8.81,-3283000000,9.7,15500000000,55090000000,58490000000,1.03E+11,2.56E+11,31300,1.9,0.3,100,10000,200000,1.01E+11,3.3,4.66,1.8,387006,3730000,22.6,3450000,78.92,1497000000,0.9,7810000000,403000000,6033000000,1731000000,24900000000,262400,35470,262000,20670,85690000,8184691,64.2,6021,12730000000,3881000,7094500,1.36,4.4
BE,30528,10.48,11400000000,10.22,28300000000,78820000000,76580000000,2.56E+11,3.16E+11,30600,2.6,0.2,100,10000,149028,2.35E+11,3.5,4.68,1.9,166799,3400000,19.1,4750000,78.62,3999000000,1.3,15500000000,0,15400000000,0,,595100,450000,1042000,0,,10364388,96.2,3518,14450000000,5120400,8135500,1.64,12
BG,110910,9.66,682900000,14.26,16100000000,32710000000,43070000000,9134000000,61630000000,8200,5.3,0.1,100,346,37077,12230000000,5.2,20.55,6.1,53421,630000,18.6,3398000,72.03,356000000,2.6,5804000000,0,5800000000,4000000,3724000000,94000,,,603,8100000,7450349,41.9,4294,7526000000,2868200,2597500,1.38,12.7
HR,56542,9.57,-1925000000,11.38,26400000000,15200000000,12510000000,7845000000,50330000000,11200,3.7,0.1,10,200,28344,16700000000,2.7,6.84,2.5,29644,1014000,28.6,1710000,74.45,620000000,2.39,2840000000,0,1080000000,1760000000,34360000000,89000,,,21000,93600000,4495904,41.7,2726,8563000000,1825000,2553000,1.39,13.8
CY,9250,12.57,-619900000,7.64,7327000000,602000000,4000000000,49300000,4540000000,7135,2.6,0.1,,1000,13943,415200000,-0.3,7.18,2.4,5901,210000,17.9,95025,77.65,384000000,3.8,,,,,,49000,,,300,,780133,74.9,,941600000,86228,143178,1.83,3.2
CZ,78866,9.07,-5730000000,10.54,36280000000,55330000000,71750000000,66510000000,1.72E+11,16800,3.7,0.1,10,2500,127204,68190000000,4.7,3.93,3.2,295677,2700000,29,5250000,76.02,2170000000,2.02,9892000000,1000000,9521000000,160000000,3057000000,175700,26670,192300,7419,17250000,10241138,33.5,9520,32780000000,3626000,9708700,1.2,10.6
DK,43094,11.36,6529000000,10.43,21700000000,31630000000,36380000000,73060000000,1.74E+11,32200,2.1,0.2,100,5000,71847,63450000000,1.7,4.56,1.4,1219925,2756000,19.8,2870000,77.62,3271600000,1.5,5280000000,3100000000,0,8380000000,81980000000,218000,332100,195000,346200,1230000000,5432335,42.5,3002,37980000000,3610100,4785300,1.74,6.2
EE,45226,9.91,-1169000000,13.21,8373000000,6358000000,8301000000,5701000000,19230000000,14300,6,1.1,200,7800,55944,7318000000,5,7.87,3,82142,444000,28.2,660000,71.77,155000000,2,1270000000,0,1270000000,0,,24000,,,5100,,1332893,5.4,958,1503000000,475000,881000,1.39,9.6
FI,338145,10.5,11390000000,9.79,30000000000,78580000000,71590000000,61040000000,1.51E+11,29000,3,0.1,100,1500,78197,45170000000,2,3.57,0.7,1219173,2650000,18.3,2660000,78.35,1800000000,2,4557000000,0,4567000000,0,,211400,101000,318300,0,,5223442,46.8,5851,11170000000,2548000,4700000,1.73,8.9
